run,lumi,evtid,cat
1,149,148072,eemt
1,149,148185,eemt
1,149,148242,eemt
1,149,148284,eemt
1,149,148576,eemt
1,149,148599,eemt
1,149,148689,eemt
1,149,148775,eemt
1,149,148852,eemt
1,149,148974,eemt
1,237,236075,eemt
1,237,236276,eemt
1,237,236372,eemt
1,237,236426,eemt
1,237,236485,eemt
1,237,236521,eemt
1,237,236535,eemt
1,237,236607,eemt
1,237,236598,eemt
1,237,236613,eemt
1,237,236789,eemt
1,237,236843,eemt
1,237,236944,eemt
1,238,237053,eemt
1,238,237220,eemt
1,238,237410,eemt
1,238,237466,eemt
1,238,237730,eemt
1,238,237821,eemt
1,238,237852,eemt
1,238,237941,eemt
1,238,237940,eemt
1,239,238178,eemt
1,239,238465,eemt
1,239,238585,eemt
1,239,238659,eemt
1,239,238702,eemt
1,239,238727,eemt
1,239,238800,eemt
1,240,239018,eemt
1,240,239299,eemt
1,240,239471,eemt
1,240,239533,eemt
1,240,239639,eemt
1,240,239656,eemt
1,240,239653,eemt
1,240,239719,eemt
1,240,239935,eemt
1,240,239962,eemt
1,336,335237,eemt
1,336,335254,eemt
1,336,335461,eemt
1,336,335465,eemt
1,336,335529,eemt
1,336,335567,eemt
1,336,335912,eemt
1,336,335910,eemt
1,336,335992,eemt
1,321,320002,eemt
1,321,320171,eemt
1,321,320912,eemt
1,322,321050,eemt
1,322,321041,eemt
1,322,321153,eemt
1,322,321226,eemt
1,322,321308,eemt
1,322,321326,eemt
1,322,321346,eemt
1,322,321493,eemt
1,322,321585,eemt
1,322,321627,eemt
1,322,321724,eemt
1,322,321814,eemt
1,322,321848,eemt
1,322,321941,eemt
1,323,322034,eemt
1,323,322079,eemt
1,323,322135,eemt
1,323,322352,eemt
1,323,322413,eemt
1,323,322555,eemt
1,323,322578,eemt
1,323,322666,eemt
1,323,322824,eemt
1,324,323298,eemt
1,324,323704,eemt
1,324,323790,eemt
1,337,336160,eemt
1,337,336279,eemt
1,337,336275,eemt
1,337,336427,eemt
1,337,336968,eemt
1,338,337038,eemt
1,338,337117,eemt
1,338,337145,eemt
1,338,337387,eemt
1,338,337597,eemt
1,338,337605,eemt
1,338,337669,eemt
1,338,337732,eemt
1,338,337840,eemt
1,338,337952,eemt
1,339,338145,eemt
1,339,338169,eemt
1,339,338301,eemt
1,339,338407,eemt
1,339,338488,eemt
1,339,338770,eemt
1,340,339088,eemt
1,340,339191,eemt
1,340,339248,eemt
1,340,339359,eemt
1,340,339427,eemt
1,340,339473,eemt
1,340,339484,eemt
1,340,339543,eemt
1,340,339553,eemt
1,340,339580,eemt
1,340,339606,eemt
1,340,339673,eemt
1,340,339766,eemt
1,340,339923,eemt
1,340,339980,eemt
1,461,460006,eemt
1,461,460084,eemt
1,461,460136,eemt
1,461,460284,eemt
1,461,460391,eemt
1,461,460400,eemt
1,461,460823,eemt
1,461,460824,eemt
1,461,460985,eemt
1,461,460989,eemt
1,462,461135,eemt
1,462,461171,eemt
1,462,461200,eemt
1,462,461448,eemt
1,462,461477,eemt
1,462,461569,eemt
1,462,461900,eemt
1,463,462029,eemt
1,463,462192,eemt
1,463,462295,eemt
1,463,462336,eemt
1,463,462444,eemt
1,463,462485,eemt
1,463,462500,eemt
1,463,462688,eemt
1,463,462711,eemt
1,463,462895,eemt
1,464,463090,eemt
1,464,463271,eemt
1,464,463278,eemt
1,464,463373,eemt
1,464,463378,eemt
1,464,463581,eemt
1,464,463597,eemt
1,464,463813,eemt
1,464,463827,eemt
1,464,463974,eemt
1,464,463971,eemt
1,464,463977,eemt
1,101,100317,eemt
1,101,100399,eemt
1,101,100640,eemt
1,101,100727,eemt
1,101,100816,eemt
1,102,101002,eemt
1,102,101010,eemt
1,102,101033,eemt
1,102,101110,eemt
1,102,101120,eemt
1,102,101142,eemt
1,102,101154,eemt
1,102,101183,eemt
1,102,101617,eemt
1,102,101638,eemt
1,102,101762,eemt
1,102,101844,eemt
1,102,101929,eemt
1,102,101985,eemt
1,102,101997,eemt
1,103,102011,eemt
1,103,102058,eemt
1,103,102091,eemt
1,103,102225,eemt
1,103,102339,eemt
1,103,102459,eemt
1,103,102486,eemt
1,103,102522,eemt
1,103,102530,eemt
1,103,102703,eemt
1,103,102916,eemt
1,104,103074,eemt
1,104,103047,eemt
1,104,103208,eemt
1,104,103217,eemt
1,104,103233,eemt
1,104,103253,eemt
1,104,103431,eemt
1,104,103585,eemt
1,104,103573,eemt
1,104,103600,eemt
1,104,103805,eemt
1,104,103866,eemt
1,104,103891,eemt
1,104,103961,eemt
1,121,120081,eemt
1,121,120461,eemt
1,121,120833,eemt
1,121,120859,eemt
1,121,120909,eemt
1,121,120972,eemt
1,122,121125,eemt
1,122,121331,eemt
1,122,121373,eemt
1,122,121465,eemt
1,122,121478,eemt
1,122,121557,eemt
1,122,121563,eemt
1,122,121655,eemt
1,122,121690,eemt
1,122,121743,eemt
1,122,121830,eemt
1,122,121909,eemt
1,123,122056,eemt
1,123,122231,eemt
1,123,122308,eemt
1,123,122296,eemt
1,123,122317,eemt
1,123,122354,eemt
1,123,122439,eemt
1,123,122437,eemt
1,123,122455,eemt
1,123,122526,eemt
1,123,122701,eemt
1,123,122747,eemt
1,123,122848,eemt
1,123,122952,eemt
1,124,123296,eemt
1,124,123410,eemt
1,124,123464,eemt
1,124,123482,eemt
1,124,123508,eemt
1,124,123523,eemt
1,124,123799,eemt
1,124,123969,eemt
1,153,152056,eemt
1,153,152095,eemt
1,153,152338,eemt
1,153,152803,eemt
1,153,152957,eemt
1,153,152976,eemt
1,154,153036,eemt
1,154,153139,eemt
1,154,153174,eemt
1,154,153483,eemt
1,154,153610,eemt
1,154,153655,eemt
1,154,153837,eemt
1,154,153949,eemt
1,155,154073,eemt
1,155,154064,eemt
1,155,154170,eemt
1,155,154176,eemt
1,155,154270,eemt
1,155,154294,eemt
1,155,154486,eemt
1,155,154536,eemt
1,155,154557,eemt
1,155,154562,eemt
1,155,154647,eemt
1,155,154920,eemt
1,156,155171,eemt
1,156,155470,eemt
1,156,155531,eemt
1,156,155580,eemt
1,156,155701,eemt
1,156,155761,eemt
1,156,155966,eemt
1,161,160024,eemt
1,161,160191,eemt
1,161,160247,eemt
1,161,160296,eemt
1,161,160331,eemt
1,161,160344,eemt
1,161,160536,eemt
1,161,160716,eemt
1,161,160874,eemt
1,161,160986,eemt
1,162,161230,eemt
1,162,161352,eemt
1,162,161377,eemt
1,162,161404,eemt
1,162,161467,eemt
1,162,161663,eemt
1,162,161749,eemt
1,162,161765,eemt
1,162,161834,eemt
1,162,161865,eemt
1,162,161935,eemt
1,163,162001,eemt
1,163,162067,eemt
1,163,162315,eemt
1,163,162340,eemt
1,163,162440,eemt
1,163,162525,eemt
1,163,162657,eemt
1,163,162782,eemt
1,163,162958,eemt
1,164,163050,eemt
1,164,163177,eemt
1,164,163194,eemt
1,164,163224,eemt
1,164,163290,eemt
1,164,163713,eemt
1,164,163720,eemt
1,164,163808,eemt
1,164,163860,eemt
1,164,163914,eemt
1,157,156061,eemt
1,157,156287,eemt
1,157,156410,eemt
1,157,156437,eemt
1,157,156492,eemt
1,157,156752,eemt
1,157,156812,eemt
1,157,156853,eemt
1,157,156960,eemt
1,158,157038,eemt
1,158,157033,eemt
1,158,157061,eemt
1,158,157113,eemt
1,158,157209,eemt
1,158,157636,eemt
1,158,157660,eemt
1,158,157711,eemt
1,160,159051,eemt
1,160,159095,eemt
1,160,159333,eemt
1,160,159463,eemt
1,160,159491,eemt
1,160,159500,eemt
1,160,159579,eemt
1,160,159588,eemt
1,160,159679,eemt
1,160,159768,eemt
1,160,159917,eemt
1,160,159968,eemt
1,192,191403,eemt
1,192,191451,eemt
1,192,191501,eemt
1,192,191570,eemt
1,192,191604,eemt
1,192,191667,eemt
1,192,191689,eemt
1,192,191801,eemt
1,192,191899,eemt
1,350,349047,eemt
1,350,349171,eemt
1,350,349187,eemt
1,350,349377,eemt
1,350,349402,eemt
1,350,349412,eemt
1,350,349623,eemt
1,350,349644,eemt
1,350,349656,eemt
1,350,349684,eemt
1,350,349695,eemt
1,350,349769,eemt
1,350,349748,eemt
1,350,349857,eemt
1,351,350101,eemt
1,351,350156,eemt
1,351,350200,eemt
1,351,350274,eemt
1,351,350496,eemt
1,351,350634,eemt
1,351,350728,eemt
1,351,350730,eemt
1,351,350914,eemt
1,351,350963,eemt
1,352,351012,eemt
1,352,351045,eemt
1,352,351215,eemt
1,352,351278,eemt
1,352,351312,eemt
1,352,351309,eemt
1,352,351327,eemt
1,352,351546,eemt
1,352,351545,eemt
1,352,351753,eemt
1,352,351805,eemt
1,443,442072,eemt
1,443,442078,eemt
1,443,442204,eemt
1,443,442315,eemt
1,443,442452,eemt
1,443,442455,eemt
1,443,442484,eemt
1,443,442613,eemt
1,443,442647,eemt
1,443,442708,eemt
1,443,442848,eemt
1,443,442861,eemt
1,443,442903,eemt
1,443,442926,eemt
1,396,395027,eemt
1,396,395029,eemt
1,396,395174,eemt
1,396,395171,eemt
1,396,395420,eemt
1,396,395458,eemt
1,396,395609,eemt
1,396,395605,eemt
1,396,395622,eemt
1,396,395780,eemt
1,396,395874,eemt
1,433,432029,eemt
1,433,432057,eemt
1,433,432076,eemt
1,433,432329,eemt
1,433,432564,eemt
1,433,432595,eemt
1,433,432635,eemt
1,433,432715,eemt
1,433,432759,eemt
1,433,432778,eemt
1,433,432826,eemt
1,433,432838,eemt
1,433,432845,eemt
1,433,432859,eemt
1,434,433038,eemt
1,434,433224,eemt
1,434,433219,eemt
1,434,433289,eemt
1,434,433337,eemt
1,435,434091,eemt
1,435,434188,eemt
1,435,434261,eemt
1,435,434290,eemt
1,435,434513,eemt
1,435,434566,eemt
1,435,434588,eemt
1,435,434597,eemt
1,435,434732,eemt
1,435,434793,eemt
1,436,435073,eemt
1,436,435086,eemt
1,436,435248,eemt
1,436,435262,eemt
1,436,435310,eemt
1,436,435333,eemt
1,436,435399,eemt
1,436,435604,eemt
1,436,435721,eemt
1,436,435843,eemt
1,436,435851,eemt
1,436,435943,eemt
1,445,444346,eemt
1,445,444657,eemt
1,445,444745,eemt
1,446,445182,eemt
1,446,445854,eemt
1,447,446109,eemt
1,447,446184,eemt
1,447,446214,eemt
1,447,446317,eemt
1,447,446434,eemt
1,447,446662,eemt
1,447,446711,eemt
1,447,446776,eemt
1,447,446788,eemt
1,447,446863,eemt
1,447,446955,eemt
1,447,446988,eemt
1,177,176365,eemt
1,177,176493,eemt
1,177,176664,eemt
1,177,176784,eemt
1,178,177116,eemt
1,178,177181,eemt
1,178,177380,eemt
1,178,177431,eemt
1,178,177480,eemt
1,178,177559,eemt
1,178,177572,eemt
1,178,177634,eemt
1,178,177773,eemt
1,178,177787,eemt
1,178,177794,eemt
1,179,178062,eemt
1,179,178142,eemt
1,179,178268,eemt
1,179,178305,eemt
1,179,178393,eemt
1,179,178453,eemt
1,179,178462,eemt
1,179,178562,eemt
1,179,178748,eemt
1,179,178943,eemt
1,180,179303,eemt
1,180,179396,eemt
1,180,179565,eemt
1,180,179797,eemt
1,180,179825,eemt
1,180,179824,eemt
1,477,476101,eemt
1,477,476159,eemt
1,477,476192,eemt
1,477,476461,eemt
1,477,476628,eemt
1,477,476772,eemt
1,477,476845,eemt
1,477,476842,eemt
1,477,476879,eemt
1,477,476913,eemt
1,478,477009,eemt
1,478,477128,eemt
1,478,477158,eemt
1,478,477348,eemt
1,478,477407,eemt
1,478,477416,eemt
1,478,477492,eemt
1,478,477520,eemt
1,478,477739,eemt
1,478,477782,eemt
1,478,477863,eemt
1,478,477957,eemt
1,479,478067,eemt
1,479,478163,eemt
1,479,478522,eemt
1,479,478647,eemt
1,479,478869,eemt
1,479,478873,eemt
1,479,478882,eemt
1,480,479086,eemt
1,480,479111,eemt
1,480,479239,eemt
1,480,479240,eemt
1,480,479566,eemt
1,480,479717,eemt
1,480,479892,eemt
1,480,479920,eemt
1,480,479936,eemt
1,409,408200,eemt
1,409,408211,eemt
1,409,408338,eemt
1,409,408376,eemt
1,409,408417,eemt
1,409,408494,eemt
1,409,408580,eemt
1,409,408601,eemt
1,409,408731,eemt
1,409,408754,eemt
1,410,409125,eemt
1,410,409126,eemt
1,410,409122,eemt
1,410,409333,eemt
1,410,409403,eemt
1,410,409468,eemt
1,410,409581,eemt
1,410,409619,eemt
1,410,409724,eemt
1,410,409743,eemt
1,411,410537,eemt
1,411,410975,eemt
1,411,411000,eemt
1,412,411006,eemt
1,412,411048,eemt
1,412,411141,eemt
1,412,411193,eemt
1,412,411191,eemt
1,412,411687,eemt
1,159,158215,eemt
1,159,158243,eemt
1,159,158336,eemt
1,159,158462,eemt
1,159,158487,eemt
1,159,158600,eemt
1,159,158709,eemt
1,159,158724,eemt
1,159,158732,eemt
1,159,158992,eemt
1,189,188023,eemt
1,189,188258,eemt
1,189,188404,eemt
1,190,189016,eemt
1,190,189049,eemt
1,190,189142,eemt
1,190,189220,eemt
1,190,189276,eemt
1,190,189316,eemt
1,190,189312,eemt
1,190,189437,eemt
1,190,189995,eemt
1,191,190074,eemt
1,191,190100,eemt
1,191,190328,eemt
1,191,190622,eemt
1,191,190636,eemt
1,191,190679,eemt
1,191,190805,eemt
1,191,190858,eemt
1,191,190889,eemt
1,191,190932,eemt
1,349,348071,eemt
1,349,348122,eemt
1,349,348247,eemt
1,349,348242,eemt
1,349,348410,eemt
1,349,348509,eemt
1,349,348526,eemt
1,349,348709,eemt
1,349,348723,eemt
1,349,348768,eemt
1,349,348869,eemt
1,349,348885,eemt
1,349,348948,eemt
1,441,440032,eemt
1,441,440073,eemt
1,441,440075,eemt
1,441,440345,eemt
1,441,440450,eemt
1,441,440479,eemt
1,441,440518,eemt
1,441,440570,eemt
1,441,440579,eemt
1,441,440645,eemt
1,441,440892,eemt
1,441,440894,eemt
1,442,441076,eemt
1,442,441202,eemt
1,442,441457,eemt
1,442,441481,eemt
1,442,441605,eemt
1,442,441775,eemt
1,442,441876,eemt
1,442,441974,eemt
1,444,443080,eemt
1,444,443121,eemt
1,444,443329,eemt
1,444,443366,eemt
1,444,443787,eemt
1,493,492072,eemt
1,493,492096,eemt
1,493,492268,eemt
1,493,492399,eemt
1,493,492611,eemt
1,493,492677,eemt
1,493,492686,eemt
1,493,492787,eemt
1,493,492845,eemt
1,493,492849,eemt
1,493,492851,eemt
1,493,492865,eemt
1,494,493410,eemt
1,494,493445,eemt
1,494,493512,eemt
1,494,493908,eemt
1,494,493907,eemt
1,494,493951,eemt
1,494,493997,eemt
1,494,493994,eemt
1,495,494031,eemt
1,495,494062,eemt
1,495,494241,eemt
1,495,494297,eemt
1,495,494408,eemt
1,495,494440,eemt
1,495,494478,eemt
1,495,494655,eemt
1,495,494657,eemt
1,495,494745,eemt
1,495,494771,eemt
1,495,494837,eemt
1,495,494842,eemt
1,495,494853,eemt
1,495,494953,eemt
1,496,495068,eemt
1,496,495085,eemt
1,496,495205,eemt
1,496,495215,eemt
1,496,495272,eemt
1,496,495390,eemt
1,496,495465,eemt
1,496,495597,eemt
1,496,495610,eemt
1,496,495682,eemt
1,496,495831,eemt
1,496,495990,eemt
1,17,16039,eemt
1,17,16089,eemt
1,17,16146,eemt
1,17,16155,eemt
1,17,16402,eemt
1,17,16406,eemt
1,17,16472,eemt
1,17,16479,eemt
1,17,16683,eemt
1,17,16736,eemt
1,17,16767,eemt
1,17,16837,eemt
1,17,16879,eemt
1,17,16917,eemt
1,18,17119,eemt
1,18,17156,eemt
1,18,17319,eemt
1,18,17602,eemt
1,18,17616,eemt
1,18,17820,eemt
1,18,17895,eemt
1,18,17963,eemt
1,19,18140,eemt
1,19,18200,eemt
1,19,18255,eemt
1,19,18355,eemt
1,19,18391,eemt
1,19,18632,eemt
1,19,18811,eemt
1,19,18869,eemt
1,20,19068,eemt
1,20,19080,eemt
1,20,19115,eemt
1,20,19198,eemt
1,20,19243,eemt
1,20,19266,eemt
1,20,19482,eemt
1,20,19575,eemt
1,20,19596,eemt
1,20,19722,eemt
1,20,19920,eemt
1,305,304068,eemt
1,305,304079,eemt
1,305,304085,eemt
1,305,304225,eemt
1,305,304287,eemt
1,305,304304,eemt
1,305,304457,eemt
1,305,304528,eemt
1,305,304665,eemt
1,305,304716,eemt
1,305,304755,eemt
1,305,304832,eemt
1,305,304846,eemt
1,305,304873,eemt
1,305,304884,eemt
1,306,305015,eemt
1,306,305031,eemt
1,306,305289,eemt
1,306,305296,eemt
1,306,305320,eemt
1,306,305438,eemt
1,306,305580,eemt
1,306,305675,eemt
1,306,305697,eemt
1,307,306010,eemt
1,307,306042,eemt
1,307,306410,eemt
1,307,306589,eemt
1,308,307088,eemt
1,308,307147,eemt
1,308,307169,eemt
1,308,307282,eemt
1,308,307285,eemt
1,308,307629,eemt
1,308,307637,eemt
1,308,307652,eemt
